"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","330","Single User","chromium","Sat Apr 19 02:58:23 GMT 2025","passed","Sat Apr 19 02:58:24 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","333","List users with page and per_page parameters","chromium","Sat Apr 19 02:58:23 GMT 2025","passed","Sat Apr 19 02:58:23 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","307","Register success - should return id and token","chromium","Sat Apr 19 02:58:26 GMT 2025","passed","Sat Apr 19 02:58:26 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","304","Update an existing user","chromium","Sat Apr 19 02:58:26 GMT 2025","passed","Sat Apr 19 02:58:26 GMT 2025","User API Tests","put_update_user.spec.ts","",""
"","187","List User Without Parameter","chromium","Sat Apr 19 02:58:23 GMT 2025","passed","Sat Apr 19 02:58:23 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","318","List users with id not exist","chromium","Sat Apr 19 02:58:24 GMT 2025","passed","Sat Apr 19 02:58:24 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","300","Register unsuccessful - should return missing password error","chromium","Sat Apr 19 02:58:26 GMT 2025","passed","Sat Apr 19 02:58:26 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","323","Update an existing user","chromium","Sat Apr 19 02:58:25 GMT 2025","passed","Sat Apr 19 02:58:25 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","336","List users with page not data exist","chromium","Sat Apr 19 02:58:23 GMT 2025","passed","Sat Apr 19 02:58:23 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","318","Create a new user","chromium","Sat Apr 19 02:58:24 GMT 2025","passed","Sat Apr 19 02:58:25 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","619","Login API","chromium","Sat Apr 19 02:58:25 GMT 2025","passed","Sat Apr 19 02:58:26 GMT 2025","[POST] User Login","post_login_user.spec.ts","",""
"","47","List users with page parameter","chromium","Sat Apr 19 02:58:23 GMT 2025","passed","Sat Apr 19 02:58:23 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
