"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","227","Update an existing user","chromium","Tue Nov 05 02:49:23 GMT 2024","passed","Tue Nov 05 02:49:23 GMT 2024","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","199","List users with page not data exist","chromium","Tue Nov 05 02:49:22 GMT 2024","passed","Tue Nov 05 02:49:22 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","187","Register success - should return id and token","chromium","Tue Nov 05 02:49:24 GMT 2024","passed","Tue Nov 05 02:49:24 GMT 2024","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","194","Single User","chromium","Tue Nov 05 02:49:22 GMT 2024","passed","Tue Nov 05 02:49:22 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","182","Update an existing user","chromium","Tue Nov 05 02:49:24 GMT 2024","passed","Tue Nov 05 02:49:24 GMT 2024","User API Tests","put_update_user.spec.ts","",""
"","182","Register unsuccessful - should return missing password error","chromium","Tue Nov 05 02:49:24 GMT 2024","passed","Tue Nov 05 02:49:24 GMT 2024","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","213","List users with page and per_page parameters","chromium","Tue Nov 05 02:49:22 GMT 2024","passed","Tue Nov 05 02:49:22 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","199","List users with id not exist","chromium","Tue Nov 05 02:49:22 GMT 2024","passed","Tue Nov 05 02:49:23 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","408","Login API","chromium","Tue Nov 05 02:49:23 GMT 2024","passed","Tue Nov 05 02:49:24 GMT 2024","[POST] User Login","post_login_user.spec.ts","",""
"","207","Create a new user","chromium","Tue Nov 05 02:49:23 GMT 2024","passed","Tue Nov 05 02:49:23 GMT 2024","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","36","List users with page parameter","chromium","Tue Nov 05 02:49:22 GMT 2024","passed","Tue Nov 05 02:49:22 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","337","List User Without Parameter","chromium","Tue Nov 05 02:49:21 GMT 2024","passed","Tue Nov 05 02:49:22 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
