"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","294","Single User","chromium","Fri Nov 29 03:01:47 GMT 2024","passed","Fri Nov 29 03:01:47 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","291","List users with id not exist","chromium","Fri Nov 29 03:01:47 GMT 2024","passed","Fri Nov 29 03:01:47 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","276","Register unsuccessful - should return missing password error","chromium","Fri Nov 29 03:01:49 GMT 2024","passed","Fri Nov 29 03:01:49 GMT 2024","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","289","Update an existing user","chromium","Fri Nov 29 03:01:48 GMT 2024","passed","Fri Nov 29 03:01:48 GMT 2024","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","296","List users with page not data exist","chromium","Fri Nov 29 03:01:46 GMT 2024","passed","Fri Nov 29 03:01:47 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","585","Login API","chromium","Fri Nov 29 03:01:48 GMT 2024","passed","Fri Nov 29 03:01:49 GMT 2024","[POST] User Login","post_login_user.spec.ts","",""
"","282","Register success - should return id and token","chromium","Fri Nov 29 03:01:49 GMT 2024","passed","Fri Nov 29 03:01:49 GMT 2024","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","143","List User Without Parameter","chromium","Fri Nov 29 03:01:46 GMT 2024","passed","Fri Nov 29 03:01:46 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","292","Update an existing user","chromium","Fri Nov 29 03:01:49 GMT 2024","passed","Fri Nov 29 03:01:49 GMT 2024","User API Tests","put_update_user.spec.ts","",""
"","31","List users with page parameter","chromium","Fri Nov 29 03:01:46 GMT 2024","passed","Fri Nov 29 03:01:46 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","308","Create a new user","chromium","Fri Nov 29 03:01:47 GMT 2024","passed","Fri Nov 29 03:01:48 GMT 2024","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","315","List users with page and per_page parameters","chromium","Fri Nov 29 03:01:46 GMT 2024","passed","Fri Nov 29 03:01:46 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
