"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","248","Register unsuccessful - should return missing password error","chromium","Thu May 15 03:12:34 GMT 2025","failed","Thu May 15 03:12:35 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","235","List users with id not exist","chromium","Thu May 15 03:12:21 GMT 2025","failed","Thu May 15 03:12:21 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","240","Create a new user","chromium","Thu May 15 03:12:24 GMT 2025","failed","Thu May 15 03:12:24 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","240","Register success - should return id and token","chromium","Thu May 15 03:12:32 GMT 2025","failed","Thu May 15 03:12:32 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","140","Single User","chromium","Thu May 15 03:12:19 GMT 2025","passed","Thu May 15 03:12:19 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","240","List users with page and per_page parameters","chromium","Thu May 15 03:12:16 GMT 2025","failed","Thu May 15 03:12:16 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","240","Login API","chromium","Thu May 15 03:12:29 GMT 2025","failed","Thu May 15 03:12:29 GMT 2025","[POST] User Login","post_login_user.spec.ts","",""
"","239","List users with page not data exist","chromium","Thu May 15 03:12:18 GMT 2025","failed","Thu May 15 03:12:19 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","258","Update an existing user","chromium","Thu May 15 03:12:37 GMT 2025","failed","Thu May 15 03:12:38 GMT 2025","User API Tests","put_update_user.spec.ts","",""
"","249","Update an existing user","chromium","Thu May 15 03:12:26 GMT 2025","failed","Thu May 15 03:12:27 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","252","List users with page parameter","chromium","Thu May 15 03:12:14 GMT 2025","failed","Thu May 15 03:12:14 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","242","List User Without Parameter","chromium","Thu May 15 03:12:11 GMT 2025","failed","Thu May 15 03:12:12 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
