"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","168","Update an existing user","chromium","Wed Oct 30 02:53:13 GMT 2024","passed","Wed Oct 30 02:53:14 GMT 2024","User API Tests","put_update_user.spec.ts","",""
"","172","List users with id not exist","chromium","Wed Oct 30 02:53:12 GMT 2024","passed","Wed Oct 30 02:53:12 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","190","List users with page and per_page parameters","chromium","Wed Oct 30 02:53:12 GMT 2024","passed","Wed Oct 30 02:53:12 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","166","Register success - should return id and token","chromium","Wed Oct 30 02:53:13 GMT 2024","passed","Wed Oct 30 02:53:13 GMT 2024","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","173","Update an existing user","chromium","Wed Oct 30 02:53:13 GMT 2024","passed","Wed Oct 30 02:53:13 GMT 2024","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","171","List User Without Parameter","chromium","Wed Oct 30 02:53:11 GMT 2024","passed","Wed Oct 30 02:53:12 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","170","Register unsuccessful - should return missing password error","chromium","Wed Oct 30 02:53:13 GMT 2024","passed","Wed Oct 30 02:53:13 GMT 2024","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","181","Create a new user","chromium","Wed Oct 30 02:53:12 GMT 2024","passed","Wed Oct 30 02:53:13 GMT 2024","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","32","Single User","chromium","Wed Oct 30 02:53:12 GMT 2024","passed","Wed Oct 30 02:53:12 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","333","Login API","chromium","Wed Oct 30 02:53:13 GMT 2024","passed","Wed Oct 30 02:53:13 GMT 2024","[POST] User Login","post_login_user.spec.ts","",""
"","185","List users with page not data exist","chromium","Wed Oct 30 02:53:12 GMT 2024","passed","Wed Oct 30 02:53:12 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","31","List users with page parameter","chromium","Wed Oct 30 02:53:12 GMT 2024","passed","Wed Oct 30 02:53:12 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
