"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 25 02:54:14 GMT 2024","Fri Oct 25 02:54:14 GMT 2024","153","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List User Without Parameter",""
"passed","Fri Oct 25 02:54:14 GMT 2024","Fri Oct 25 02:54:14 GMT 2024","30","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","Single User",""
"passed","Fri Oct 25 02:54:16 GMT 2024","Fri Oct 25 02:54:16 GMT 2024","203","chromium","put_update_user.spec.ts","User API Tests","","","Update an existing user",""
"passed","Fri Oct 25 02:54:15 GMT 2024","Fri Oct 25 02:54:16 GMT 2024","205","chromium","post_register_user.spec.ts","[POST] Register User API Tests","","","Register success - should return id and token",""
"passed","Fri Oct 25 02:54:14 GMT 2024","Fri Oct 25 02:54:14 GMT 2024","237","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with page not data exist",""
"passed","Fri Oct 25 02:54:14 GMT 2024","Fri Oct 25 02:54:14 GMT 2024","216","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with id not exist",""
"passed","Fri Oct 25 02:54:16 GMT 2024","Fri Oct 25 02:54:16 GMT 2024","198","chromium","post_register_user.spec.ts","[POST] Register User API Tests","","","Register unsuccessful - should return missing password error",""
"passed","Fri Oct 25 02:54:14 GMT 2024","Fri Oct 25 02:54:14 GMT 2024","222","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with page and per_page parameters",""
"passed","Fri Oct 25 02:54:15 GMT 2024","Fri Oct 25 02:54:15 GMT 2024","412","chromium","post_login_user.spec.ts","[POST] User Login","","","Login API",""
"passed","Fri Oct 25 02:54:15 GMT 2024","Fri Oct 25 02:54:15 GMT 2024","208","chromium","post_create_user.spec.ts","[POST] Create Users API Tests","","","Update an existing user",""
"passed","Fri Oct 25 02:54:14 GMT 2024","Fri Oct 25 02:54:14 GMT 2024","27","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with page parameter",""
"passed","Fri Oct 25 02:54:15 GMT 2024","Fri Oct 25 02:54:15 GMT 2024","210","chromium","post_create_user.spec.ts","[POST] Create Users API Tests","","","Create a new user",""
