"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 28 02:57:14 GMT 2024","Mon Oct 28 02:57:14 GMT 2024","36","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","Single User",""
"passed","Mon Oct 28 02:57:14 GMT 2024","Mon Oct 28 02:57:14 GMT 2024","209","chromium","post_create_user.spec.ts","[POST] Create Users API Tests","","","Update an existing user",""
"passed","Mon Oct 28 02:57:15 GMT 2024","Mon Oct 28 02:57:15 GMT 2024","207","chromium","post_register_user.spec.ts","[POST] Register User API Tests","","","Register success - should return id and token",""
"passed","Mon Oct 28 02:57:15 GMT 2024","Mon Oct 28 02:57:15 GMT 2024","203","chromium","put_update_user.spec.ts","User API Tests","","","Update an existing user",""
"passed","Mon Oct 28 02:57:14 GMT 2024","Mon Oct 28 02:57:14 GMT 2024","219","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with id not exist",""
"passed","Mon Oct 28 02:57:14 GMT 2024","Mon Oct 28 02:57:14 GMT 2024","218","chromium","post_create_user.spec.ts","[POST] Create Users API Tests","","","Create a new user",""
"passed","Mon Oct 28 02:57:14 GMT 2024","Mon Oct 28 02:57:15 GMT 2024","416","chromium","post_login_user.spec.ts","[POST] User Login","","","Login API",""
"passed","Mon Oct 28 02:57:13 GMT 2024","Mon Oct 28 02:57:14 GMT 2024","228","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with page not data exist",""
"passed","Mon Oct 28 02:57:13 GMT 2024","Mon Oct 28 02:57:13 GMT 2024","173","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List User Without Parameter",""
"passed","Mon Oct 28 02:57:13 GMT 2024","Mon Oct 28 02:57:13 GMT 2024","32","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with page parameter",""
"passed","Mon Oct 28 02:57:13 GMT 2024","Mon Oct 28 02:57:13 GMT 2024","235","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with page and per_page parameters",""
"passed","Mon Oct 28 02:57:15 GMT 2024","Mon Oct 28 02:57:15 GMT 2024","199","chromium","post_register_user.spec.ts","[POST] Register User API Tests","","","Register unsuccessful - should return missing password error",""
