"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","List users with page parameter","chromium","Sat Nov 09 02:43:46 GMT 2024","passed","Sat Nov 09 02:43:46 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","313","List users with page and per_page parameters","chromium","Sat Nov 09 02:43:46 GMT 2024","passed","Sat Nov 09 02:43:46 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","289","Register success - should return id and token","chromium","Sat Nov 09 02:43:48 GMT 2024","passed","Sat Nov 09 02:43:49 GMT 2024","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","141","List User Without Parameter","chromium","Sat Nov 09 02:43:46 GMT 2024","passed","Sat Nov 09 02:43:46 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","283","List users with id not exist","chromium","Sat Nov 09 02:43:47 GMT 2024","passed","Sat Nov 09 02:43:47 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","288","Update an existing user","chromium","Sat Nov 09 02:43:47 GMT 2024","passed","Sat Nov 09 02:43:48 GMT 2024","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","301","Create a new user","chromium","Sat Nov 09 02:43:47 GMT 2024","passed","Sat Nov 09 02:43:47 GMT 2024","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","283","Register unsuccessful - should return missing password error","chromium","Sat Nov 09 02:43:49 GMT 2024","passed","Sat Nov 09 02:43:49 GMT 2024","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","294","Single User","chromium","Sat Nov 09 02:43:46 GMT 2024","passed","Sat Nov 09 02:43:47 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","576","Login API","chromium","Sat Nov 09 02:43:48 GMT 2024","passed","Sat Nov 09 02:43:48 GMT 2024","[POST] User Login","post_login_user.spec.ts","",""
"","295","List users with page not data exist","chromium","Sat Nov 09 02:43:46 GMT 2024","passed","Sat Nov 09 02:43:46 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","283","Update an existing user","chromium","Sat Nov 09 02:43:49 GMT 2024","passed","Sat Nov 09 02:43:49 GMT 2024","User API Tests","put_update_user.spec.ts","",""
