"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 24 02:51:47 GMT 2024","Thu Oct 24 02:51:47 GMT 2024","210","chromium","post_register_user.spec.ts","[POST] Register User API Tests","","","Register success - should return id and token",""
"passed","Thu Oct 24 02:51:45 GMT 2024","Thu Oct 24 02:51:45 GMT 2024","191","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List User Without Parameter",""
"passed","Thu Oct 24 02:51:46 GMT 2024","Thu Oct 24 02:51:46 GMT 2024","213","chromium","post_create_user.spec.ts","[POST] Create Users API Tests","","","Create a new user",""
"passed","Thu Oct 24 02:51:46 GMT 2024","Thu Oct 24 02:51:47 GMT 2024","210","chromium","post_create_user.spec.ts","[POST] Create Users API Tests","","","Update an existing user",""
"passed","Thu Oct 24 02:51:47 GMT 2024","Thu Oct 24 02:51:48 GMT 2024","214","chromium","put_update_user.spec.ts","User API Tests","","","Update an existing user",""
"passed","Thu Oct 24 02:51:46 GMT 2024","Thu Oct 24 02:51:46 GMT 2024","224","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with page not data exist",""
"passed","Thu Oct 24 02:51:45 GMT 2024","Thu Oct 24 02:51:45 GMT 2024","33","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with page parameter",""
"passed","Thu Oct 24 02:51:46 GMT 2024","Thu Oct 24 02:51:46 GMT 2024","38","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","Single User",""
"passed","Thu Oct 24 02:51:46 GMT 2024","Thu Oct 24 02:51:46 GMT 2024","212","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with id not exist",""
"passed","Thu Oct 24 02:51:45 GMT 2024","Thu Oct 24 02:51:46 GMT 2024","221","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with page and per_page parameters",""
"passed","Thu Oct 24 02:51:47 GMT 2024","Thu Oct 24 02:51:47 GMT 2024","203","chromium","post_register_user.spec.ts","[POST] Register User API Tests","","","Register unsuccessful - should return missing password error",""
"passed","Thu Oct 24 02:51:47 GMT 2024","Thu Oct 24 02:51:47 GMT 2024","403","chromium","post_login_user.spec.ts","[POST] User Login","","","Login API",""
