"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","151","List User Without Parameter","chromium","Mon Jun 02 03:22:56 GMT 2025","passed","Mon Jun 02 03:22:56 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","228","Register success - should return id and token","chromium","Mon Jun 02 03:23:15 GMT 2025","failed","Mon Jun 02 03:23:15 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","225","Single User","chromium","Mon Jun 02 03:23:02 GMT 2025","failed","Mon Jun 02 03:23:02 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","219","Register unsuccessful - should return missing password error","chromium","Mon Jun 02 03:23:18 GMT 2025","failed","Mon Jun 02 03:23:18 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","31","List users with page parameter","chromium","Mon Jun 02 03:22:56 GMT 2025","passed","Mon Jun 02 03:22:56 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","237","Login API","chromium","Mon Jun 02 03:23:12 GMT 2025","failed","Mon Jun 02 03:23:12 GMT 2025","[POST] User Login","post_login_user.spec.ts","",""
"","215","List users with page not data exist","chromium","Mon Jun 02 03:23:00 GMT 2025","failed","Mon Jun 02 03:23:00 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","226","List users with id not exist","chromium","Mon Jun 02 03:23:04 GMT 2025","failed","Mon Jun 02 03:23:05 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","238","List users with page and per_page parameters","chromium","Mon Jun 02 03:22:58 GMT 2025","failed","Mon Jun 02 03:22:58 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","237","Create a new user","chromium","Mon Jun 02 03:23:07 GMT 2025","failed","Mon Jun 02 03:23:07 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","223","Update an existing user","chromium","Mon Jun 02 03:23:20 GMT 2025","failed","Mon Jun 02 03:23:21 GMT 2025","User API Tests","put_update_user.spec.ts","",""
"","230","Update an existing user","chromium","Mon Jun 02 03:23:10 GMT 2025","failed","Mon Jun 02 03:23:10 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
