"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","186","List users with id not exist","chromium","Mon Mar 03 02:57:05 GMT 2025","passed","Mon Mar 03 02:57:05 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","28","List users with page parameter","chromium","Mon Mar 03 02:57:04 GMT 2025","passed","Mon Mar 03 02:57:04 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","181","Update an existing user","chromium","Mon Mar 03 02:57:06 GMT 2025","passed","Mon Mar 03 02:57:06 GMT 2025","User API Tests","put_update_user.spec.ts","",""
"","211","List users with page and per_page parameters","chromium","Mon Mar 03 02:57:04 GMT 2025","passed","Mon Mar 03 02:57:04 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","195","Single User","chromium","Mon Mar 03 02:57:04 GMT 2025","passed","Mon Mar 03 02:57:05 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","185","Register success - should return id and token","chromium","Mon Mar 03 02:57:06 GMT 2025","passed","Mon Mar 03 02:57:06 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","196","List users with page not data exist","chromium","Mon Mar 03 02:57:04 GMT 2025","passed","Mon Mar 03 02:57:04 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","188","List User Without Parameter","chromium","Mon Mar 03 02:57:04 GMT 2025","passed","Mon Mar 03 02:57:04 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","198","Create a new user","chromium","Mon Mar 03 02:57:05 GMT 2025","passed","Mon Mar 03 02:57:05 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","185","Update an existing user","chromium","Mon Mar 03 02:57:05 GMT 2025","passed","Mon Mar 03 02:57:05 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","180","Register unsuccessful - should return missing password error","chromium","Mon Mar 03 02:57:06 GMT 2025","passed","Mon Mar 03 02:57:06 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","369","Login API","chromium","Mon Mar 03 02:57:05 GMT 2025","passed","Mon Mar 03 02:57:06 GMT 2025","[POST] User Login","post_login_user.spec.ts","",""
