"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","165","Register unsuccessful - should return missing password error","chromium","Mon Dec 23 02:52:51 GMT 2024","passed","Mon Dec 23 02:52:52 GMT 2024","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","28","Single User","chromium","Mon Dec 23 02:52:50 GMT 2024","passed","Mon Dec 23 02:52:50 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","147","List User Without Parameter","chromium","Mon Dec 23 02:52:50 GMT 2024","passed","Mon Dec 23 02:52:50 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","170","List users with id not exist","chromium","Mon Dec 23 02:52:50 GMT 2024","passed","Mon Dec 23 02:52:50 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","164","Register success - should return id and token","chromium","Mon Dec 23 02:52:51 GMT 2024","passed","Mon Dec 23 02:52:51 GMT 2024","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","164","Update an existing user","chromium","Mon Dec 23 02:52:52 GMT 2024","passed","Mon Dec 23 02:52:52 GMT 2024","User API Tests","put_update_user.spec.ts","",""
"","193","List users with page and per_page parameters","chromium","Mon Dec 23 02:52:50 GMT 2024","passed","Mon Dec 23 02:52:50 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","327","Login API","chromium","Mon Dec 23 02:52:51 GMT 2024","passed","Mon Dec 23 02:52:51 GMT 2024","[POST] User Login","post_login_user.spec.ts","",""
"","36","List users with page parameter","chromium","Mon Dec 23 02:52:50 GMT 2024","passed","Mon Dec 23 02:52:50 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","179","List users with page not data exist","chromium","Mon Dec 23 02:52:50 GMT 2024","passed","Mon Dec 23 02:52:50 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","185","Create a new user","chromium","Mon Dec 23 02:52:51 GMT 2024","passed","Mon Dec 23 02:52:51 GMT 2024","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","173","Update an existing user","chromium","Mon Dec 23 02:52:51 GMT 2024","passed","Mon Dec 23 02:52:51 GMT 2024","[POST] Create Users API Tests","post_create_user.spec.ts","",""
