"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","236","List users with id not exist","chromium","Sat May 31 03:12:57 GMT 2025","failed","Sat May 31 03:12:57 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","226","Register success - should return id and token","chromium","Sat May 31 03:13:07 GMT 2025","failed","Sat May 31 03:13:08 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","135","Single User","chromium","Sat May 31 03:12:55 GMT 2025","passed","Sat May 31 03:12:55 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","233","Update an existing user","chromium","Sat May 31 03:13:02 GMT 2025","failed","Sat May 31 03:13:03 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","228","List users with page and per_page parameters","chromium","Sat May 31 03:12:52 GMT 2025","failed","Sat May 31 03:12:52 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","229","Create a new user","chromium","Sat May 31 03:13:00 GMT 2025","failed","Sat May 31 03:13:00 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","229","Register unsuccessful - should return missing password error","chromium","Sat May 31 03:13:10 GMT 2025","failed","Sat May 31 03:13:10 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","244","Login API","chromium","Sat May 31 03:13:05 GMT 2025","failed","Sat May 31 03:13:05 GMT 2025","[POST] User Login","post_login_user.spec.ts","",""
"","203","List User Without Parameter","chromium","Sat May 31 03:12:50 GMT 2025","passed","Sat May 31 03:12:51 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","229","Update an existing user","chromium","Sat May 31 03:13:13 GMT 2025","failed","Sat May 31 03:13:13 GMT 2025","User API Tests","put_update_user.spec.ts","",""
"","222","List users with page not data exist","chromium","Sat May 31 03:12:55 GMT 2025","failed","Sat May 31 03:12:55 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","31","List users with page parameter","chromium","Sat May 31 03:12:51 GMT 2025","passed","Sat May 31 03:12:51 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
