"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","Single User","chromium","Sat Dec 14 02:58:57 GMT 2024","passed","Sat Dec 14 02:58:58 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","178","List users with page not data exist","chromium","Sat Dec 14 02:58:57 GMT 2024","passed","Sat Dec 14 02:58:57 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","173","Register success - should return id and token","chromium","Sat Dec 14 02:58:59 GMT 2024","passed","Sat Dec 14 02:58:59 GMT 2024","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","170","Update an existing user","chromium","Sat Dec 14 02:58:58 GMT 2024","passed","Sat Dec 14 02:58:58 GMT 2024","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","169","Update an existing user","chromium","Sat Dec 14 02:58:59 GMT 2024","passed","Sat Dec 14 02:58:59 GMT 2024","User API Tests","put_update_user.spec.ts","",""
"","216","List users with page and per_page parameters","chromium","Sat Dec 14 02:58:57 GMT 2024","passed","Sat Dec 14 02:58:57 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","32","List users with page parameter","chromium","Sat Dec 14 02:58:57 GMT 2024","passed","Sat Dec 14 02:58:57 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","175","List users with id not exist","chromium","Sat Dec 14 02:58:58 GMT 2024","passed","Sat Dec 14 02:58:58 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","170","List User Without Parameter","chromium","Sat Dec 14 02:58:57 GMT 2024","passed","Sat Dec 14 02:58:57 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","253","Create a new user","chromium","Sat Dec 14 02:58:58 GMT 2024","passed","Sat Dec 14 02:58:58 GMT 2024","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","169","Register unsuccessful - should return missing password error","chromium","Sat Dec 14 02:58:59 GMT 2024","passed","Sat Dec 14 02:58:59 GMT 2024","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","340","Login API","chromium","Sat Dec 14 02:58:58 GMT 2024","passed","Sat Dec 14 02:58:59 GMT 2024","[POST] User Login","post_login_user.spec.ts","",""
