"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","261","Register success - should return id and token","chromium","Mon May 26 03:19:17 GMT 2025","failed","Mon May 26 03:19:18 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","244","Single User","chromium","Mon May 26 03:19:04 GMT 2025","failed","Mon May 26 03:19:05 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","240","Update an existing user","chromium","Mon May 26 03:19:23 GMT 2025","failed","Mon May 26 03:19:23 GMT 2025","User API Tests","put_update_user.spec.ts","",""
"","33","List users with page parameter","chromium","Mon May 26 03:18:58 GMT 2025","passed","Mon May 26 03:18:58 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","234","Update an existing user","chromium","Mon May 26 03:19:12 GMT 2025","failed","Mon May 26 03:19:12 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","242","List users with page and per_page parameters","chromium","Mon May 26 03:19:00 GMT 2025","failed","Mon May 26 03:19:00 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","219","List User Without Parameter","chromium","Mon May 26 03:18:58 GMT 2025","passed","Mon May 26 03:18:58 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","262","Register unsuccessful - should return missing password error","chromium","Mon May 26 03:19:20 GMT 2025","failed","Mon May 26 03:19:20 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","237","List users with id not exist","chromium","Mon May 26 03:19:07 GMT 2025","failed","Mon May 26 03:19:07 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","242","Login API","chromium","Mon May 26 03:19:15 GMT 2025","failed","Mon May 26 03:19:15 GMT 2025","[POST] User Login","post_login_user.spec.ts","",""
"","233","List users with page not data exist","chromium","Mon May 26 03:19:02 GMT 2025","failed","Mon May 26 03:19:02 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","258","Create a new user","chromium","Mon May 26 03:19:09 GMT 2025","failed","Mon May 26 03:19:10 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
