"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","349","Login API","chromium","Thu May 22 03:14:43 GMT 2025","failed","Thu May 22 03:14:43 GMT 2025","[POST] User Login","post_login_user.spec.ts","",""
"","358","List users with page and per_page parameters","chromium","Thu May 22 03:14:26 GMT 2025","failed","Thu May 22 03:14:26 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","345","List User Without Parameter","chromium","Thu May 22 03:14:23 GMT 2025","failed","Thu May 22 03:14:24 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","343","List users with id not exist","chromium","Thu May 22 03:14:34 GMT 2025","failed","Thu May 22 03:14:34 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","350","Register unsuccessful - should return missing password error","chromium","Thu May 22 03:14:49 GMT 2025","failed","Thu May 22 03:14:49 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","350","Update an existing user","chromium","Thu May 22 03:14:40 GMT 2025","failed","Thu May 22 03:14:41 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","346","Update an existing user","chromium","Thu May 22 03:14:52 GMT 2025","failed","Thu May 22 03:14:53 GMT 2025","User API Tests","put_update_user.spec.ts","",""
"","132","List users with page parameter","chromium","Thu May 22 03:14:24 GMT 2025","passed","Thu May 22 03:14:24 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","346","List users with page not data exist","chromium","Thu May 22 03:14:29 GMT 2025","failed","Thu May 22 03:14:29 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","354","Create a new user","chromium","Thu May 22 03:14:37 GMT 2025","failed","Thu May 22 03:14:38 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","340","Single User","chromium","Thu May 22 03:14:31 GMT 2025","failed","Thu May 22 03:14:32 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","354","Register success - should return id and token","chromium","Thu May 22 03:14:46 GMT 2025","failed","Thu May 22 03:14:46 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
