"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","342","Login API","chromium","Thu Mar 27 03:00:14 GMT 2025","passed","Thu Mar 27 03:00:14 GMT 2025","[POST] User Login","post_login_user.spec.ts","",""
"","177","Register success - should return id and token","chromium","Thu Mar 27 03:00:14 GMT 2025","passed","Thu Mar 27 03:00:14 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","183","List users with id not exist","chromium","Thu Mar 27 03:00:13 GMT 2025","passed","Thu Mar 27 03:00:13 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","167","Register unsuccessful - should return missing password error","chromium","Thu Mar 27 03:00:14 GMT 2025","passed","Thu Mar 27 03:00:15 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","33","List users with page parameter","chromium","Thu Mar 27 03:00:13 GMT 2025","passed","Thu Mar 27 03:00:13 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","37","Single User","chromium","Thu Mar 27 03:00:13 GMT 2025","passed","Thu Mar 27 03:00:13 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","179","Update an existing user","chromium","Thu Mar 27 03:00:14 GMT 2025","passed","Thu Mar 27 03:00:14 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","209","List users with page and per_page parameters","chromium","Thu Mar 27 03:00:13 GMT 2025","passed","Thu Mar 27 03:00:13 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","183","List User Without Parameter","chromium","Thu Mar 27 03:00:12 GMT 2025","passed","Thu Mar 27 03:00:13 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","216","List users with page not data exist","chromium","Thu Mar 27 03:00:13 GMT 2025","passed","Thu Mar 27 03:00:13 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","186","Create a new user","chromium","Thu Mar 27 03:00:14 GMT 2025","passed","Thu Mar 27 03:00:14 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","172","Update an existing user","chromium","Thu Mar 27 03:00:15 GMT 2025","passed","Thu Mar 27 03:00:15 GMT 2025","User API Tests","put_update_user.spec.ts","",""
