"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","275","Update an existing user","chromium","Sat Jan 18 02:40:47 GMT 2025","passed","Sat Jan 18 02:40:47 GMT 2025","User API Tests","put_update_user.spec.ts","",""
"","568","Login API","chromium","Sat Jan 18 02:40:46 GMT 2025","passed","Sat Jan 18 02:40:46 GMT 2025","[POST] User Login","post_login_user.spec.ts","",""
"","28","List users with page parameter","chromium","Sat Jan 18 02:40:44 GMT 2025","passed","Sat Jan 18 02:40:44 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","283","Single User","chromium","Sat Jan 18 02:40:45 GMT 2025","passed","Sat Jan 18 02:40:45 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","284","List users with page not data exist","chromium","Sat Jan 18 02:40:44 GMT 2025","passed","Sat Jan 18 02:40:45 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","278","List users with id not exist","chromium","Sat Jan 18 02:40:45 GMT 2025","passed","Sat Jan 18 02:40:45 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","283","Register success - should return id and token","chromium","Sat Jan 18 02:40:46 GMT 2025","passed","Sat Jan 18 02:40:47 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","280","Register unsuccessful - should return missing password error","chromium","Sat Jan 18 02:40:47 GMT 2025","passed","Sat Jan 18 02:40:47 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","303","List users with page and per_page parameters","chromium","Sat Jan 18 02:40:44 GMT 2025","passed","Sat Jan 18 02:40:44 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","302","Create a new user","chromium","Sat Jan 18 02:40:45 GMT 2025","passed","Sat Jan 18 02:40:46 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","275","Update an existing user","chromium","Sat Jan 18 02:40:46 GMT 2025","passed","Sat Jan 18 02:40:46 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","144","List User Without Parameter","chromium","Sat Jan 18 02:40:44 GMT 2025","passed","Sat Jan 18 02:40:44 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
