"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","208","Update an existing user","chromium","Sun Nov 10 02:52:31 GMT 2024","passed","Sun Nov 10 02:52:32 GMT 2024","User API Tests","put_update_user.spec.ts","",""
"","215","List users with id not exist","chromium","Sun Nov 10 02:52:30 GMT 2024","passed","Sun Nov 10 02:52:30 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","400","Login API","chromium","Sun Nov 10 02:52:31 GMT 2024","passed","Sun Nov 10 02:52:31 GMT 2024","[POST] User Login","post_login_user.spec.ts","",""
"","346","List User Without Parameter","chromium","Sun Nov 10 02:52:29 GMT 2024","passed","Sun Nov 10 02:52:29 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","218","List users with page not data exist","chromium","Sun Nov 10 02:52:29 GMT 2024","passed","Sun Nov 10 02:52:29 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","207","Register success - should return id and token","chromium","Sun Nov 10 02:52:31 GMT 2024","passed","Sun Nov 10 02:52:31 GMT 2024","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","230","List users with page and per_page parameters","chromium","Sun Nov 10 02:52:29 GMT 2024","passed","Sun Nov 10 02:52:29 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","335","Create a new user","chromium","Sun Nov 10 02:52:30 GMT 2024","passed","Sun Nov 10 02:52:30 GMT 2024","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","29","List users with page parameter","chromium","Sun Nov 10 02:52:29 GMT 2024","passed","Sun Nov 10 02:52:29 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","214","Update an existing user","chromium","Sun Nov 10 02:52:30 GMT 2024","passed","Sun Nov 10 02:52:31 GMT 2024","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","202","Register unsuccessful - should return missing password error","chromium","Sun Nov 10 02:52:31 GMT 2024","passed","Sun Nov 10 02:52:31 GMT 2024","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","220","Single User","chromium","Sun Nov 10 02:52:29 GMT 2024","passed","Sun Nov 10 02:52:30 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
