"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","353","Create a new user","chromium","Tue May 20 03:15:01 GMT 2025","failed","Tue May 20 03:15:01 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","342","List users with id not exist","chromium","Tue May 20 03:14:58 GMT 2025","failed","Tue May 20 03:14:58 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","337","Register success - should return id and token","chromium","Tue May 20 03:15:09 GMT 2025","failed","Tue May 20 03:15:10 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","348","Update an existing user","chromium","Tue May 20 03:15:04 GMT 2025","failed","Tue May 20 03:15:04 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","351","Register unsuccessful - should return missing password error","chromium","Tue May 20 03:15:12 GMT 2025","failed","Tue May 20 03:15:13 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","348","List User Without Parameter","chromium","Tue May 20 03:14:44 GMT 2025","failed","Tue May 20 03:14:45 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","337","List users with page not data exist","chromium","Tue May 20 03:14:52 GMT 2025","failed","Tue May 20 03:14:53 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","346","Update an existing user","chromium","Tue May 20 03:15:15 GMT 2025","failed","Tue May 20 03:15:16 GMT 2025","User API Tests","put_update_user.spec.ts","",""
"","346","Login API","chromium","Tue May 20 03:15:06 GMT 2025","failed","Tue May 20 03:15:07 GMT 2025","[POST] User Login","post_login_user.spec.ts","",""
"","338","List users with page parameter","chromium","Tue May 20 03:14:47 GMT 2025","failed","Tue May 20 03:14:47 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","347","List users with page and per_page parameters","chromium","Tue May 20 03:14:50 GMT 2025","failed","Tue May 20 03:14:50 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","359","Single User","chromium","Tue May 20 03:14:55 GMT 2025","failed","Tue May 20 03:14:55 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
