"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","341","Update an existing user","chromium","Fri Feb 28 02:55:12 GMT 2025","passed","Fri Feb 28 02:55:13 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","626","Login API","chromium","Fri Feb 28 02:55:13 GMT 2025","passed","Fri Feb 28 02:55:13 GMT 2025","[POST] User Login","post_login_user.spec.ts","",""
"","333","List users with page and per_page parameters","chromium","Fri Feb 28 02:55:10 GMT 2025","passed","Fri Feb 28 02:55:11 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","328","Single User","chromium","Fri Feb 28 02:55:11 GMT 2025","passed","Fri Feb 28 02:55:11 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","315","Update an existing user","chromium","Fri Feb 28 02:55:14 GMT 2025","passed","Fri Feb 28 02:55:14 GMT 2025","User API Tests","put_update_user.spec.ts","",""
"","339","List users with page not data exist","chromium","Fri Feb 28 02:55:11 GMT 2025","passed","Fri Feb 28 02:55:11 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","341","List users with id not exist","chromium","Fri Feb 28 02:55:11 GMT 2025","passed","Fri Feb 28 02:55:12 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","242","List User Without Parameter","chromium","Fri Feb 28 02:55:10 GMT 2025","passed","Fri Feb 28 02:55:10 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","310","Register unsuccessful - should return missing password error","chromium","Fri Feb 28 02:55:14 GMT 2025","passed","Fri Feb 28 02:55:14 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","311","Register success - should return id and token","chromium","Fri Feb 28 02:55:13 GMT 2025","passed","Fri Feb 28 02:55:14 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","329","Create a new user","chromium","Fri Feb 28 02:55:12 GMT 2025","passed","Fri Feb 28 02:55:12 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","57","List users with page parameter","chromium","Fri Feb 28 02:55:10 GMT 2025","passed","Fri Feb 28 02:55:10 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
