"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","175","Update an existing user","chromium","Thu Apr 17 03:05:04 GMT 2025","passed","Thu Apr 17 03:05:05 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","181","List users with page not data exist","chromium","Thu Apr 17 03:05:04 GMT 2025","passed","Thu Apr 17 03:05:04 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","171","Register unsuccessful - should return missing password error","chromium","Thu Apr 17 03:05:05 GMT 2025","passed","Thu Apr 17 03:05:05 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","172","Update an existing user","chromium","Thu Apr 17 03:05:05 GMT 2025","passed","Thu Apr 17 03:05:06 GMT 2025","User API Tests","put_update_user.spec.ts","",""
"","192","List users with page and per_page parameters","chromium","Thu Apr 17 03:05:04 GMT 2025","passed","Thu Apr 17 03:05:04 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","174","Register success - should return id and token","chromium","Thu Apr 17 03:05:05 GMT 2025","passed","Thu Apr 17 03:05:05 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","178","List users with id not exist","chromium","Thu Apr 17 03:05:04 GMT 2025","passed","Thu Apr 17 03:05:04 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","187","Create a new user","chromium","Thu Apr 17 03:05:04 GMT 2025","passed","Thu Apr 17 03:05:04 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","37","Single User","chromium","Thu Apr 17 03:05:04 GMT 2025","passed","Thu Apr 17 03:05:04 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","36","List users with page parameter","chromium","Thu Apr 17 03:05:04 GMT 2025","passed","Thu Apr 17 03:05:04 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","170","List User Without Parameter","chromium","Thu Apr 17 03:05:03 GMT 2025","passed","Thu Apr 17 03:05:04 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","344","Login API","chromium","Thu Apr 17 03:05:05 GMT 2025","passed","Thu Apr 17 03:05:05 GMT 2025","[POST] User Login","post_login_user.spec.ts","",""
