"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","169","Register success - should return id and token","chromium","Tue Jan 21 02:46:26 GMT 2025","passed","Tue Jan 21 02:46:26 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","39","Single User","chromium","Tue Jan 21 02:46:25 GMT 2025","passed","Tue Jan 21 02:46:25 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","186","Update an existing user","chromium","Tue Jan 21 02:46:27 GMT 2025","passed","Tue Jan 21 02:46:27 GMT 2025","User API Tests","put_update_user.spec.ts","",""
"","171","Register unsuccessful - should return missing password error","chromium","Tue Jan 21 02:46:26 GMT 2025","passed","Tue Jan 21 02:46:27 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","39","List users with page parameter","chromium","Tue Jan 21 02:46:25 GMT 2025","passed","Tue Jan 21 02:46:25 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","183","Create a new user","chromium","Tue Jan 21 02:46:25 GMT 2025","passed","Tue Jan 21 02:46:26 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","172","List users with id not exist","chromium","Tue Jan 21 02:46:25 GMT 2025","passed","Tue Jan 21 02:46:25 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","183","List users with page not data exist","chromium","Tue Jan 21 02:46:25 GMT 2025","passed","Tue Jan 21 02:46:25 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","202","List users with page and per_page parameters","chromium","Tue Jan 21 02:46:25 GMT 2025","passed","Tue Jan 21 02:46:25 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","348","Login API","chromium","Tue Jan 21 02:46:26 GMT 2025","passed","Tue Jan 21 02:46:26 GMT 2025","[POST] User Login","post_login_user.spec.ts","",""
"","174","Update an existing user","chromium","Tue Jan 21 02:46:26 GMT 2025","passed","Tue Jan 21 02:46:26 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","176","List User Without Parameter","chromium","Tue Jan 21 02:46:24 GMT 2025","passed","Tue Jan 21 02:46:25 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
