"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 27 02:57:05 GMT 2024","Sun Oct 27 02:57:05 GMT 2024","239","chromium","put_update_user.spec.ts","User API Tests","","","Update an existing user",""
"passed","Sun Oct 27 02:57:02 GMT 2024","Sun Oct 27 02:57:03 GMT 2024","356","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List User Without Parameter",""
"passed","Sun Oct 27 02:57:03 GMT 2024","Sun Oct 27 02:57:03 GMT 2024","257","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with page not data exist",""
"passed","Sun Oct 27 02:57:05 GMT 2024","Sun Oct 27 02:57:05 GMT 2024","218","chromium","post_register_user.spec.ts","[POST] Register User API Tests","","","Register unsuccessful - should return missing password error",""
"passed","Sun Oct 27 02:57:04 GMT 2024","Sun Oct 27 02:57:05 GMT 2024","446","chromium","post_login_user.spec.ts","[POST] User Login","","","Login API",""
"passed","Sun Oct 27 02:57:03 GMT 2024","Sun Oct 27 02:57:03 GMT 2024","256","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with page and per_page parameters",""
"passed","Sun Oct 27 02:57:03 GMT 2024","Sun Oct 27 02:57:03 GMT 2024","31","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with page parameter",""
"passed","Sun Oct 27 02:57:04 GMT 2024","Sun Oct 27 02:57:04 GMT 2024","241","chromium","post_create_user.spec.ts","[POST] Create Users API Tests","","","Update an existing user",""
"passed","Sun Oct 27 02:57:05 GMT 2024","Sun Oct 27 02:57:05 GMT 2024","230","chromium","post_register_user.spec.ts","[POST] Register User API Tests","","","Register success - should return id and token",""
"passed","Sun Oct 27 02:57:03 GMT 2024","Sun Oct 27 02:57:03 GMT 2024","251","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","Single User",""
"passed","Sun Oct 27 02:57:03 GMT 2024","Sun Oct 27 02:57:04 GMT 2024","238","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with id not exist",""
"passed","Sun Oct 27 02:57:04 GMT 2024","Sun Oct 27 02:57:04 GMT 2024","235","chromium","post_create_user.spec.ts","[POST] Create Users API Tests","","","Create a new user",""
