"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","163","List User Without Parameter","chromium","Sat Mar 29 02:58:23 GMT 2025","passed","Sat Mar 29 02:58:23 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","297","Register success - should return id and token","chromium","Sat Mar 29 02:58:25 GMT 2025","passed","Sat Mar 29 02:58:26 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","302","Update an existing user","chromium","Sat Mar 29 02:58:26 GMT 2025","passed","Sat Mar 29 02:58:26 GMT 2025","User API Tests","put_update_user.spec.ts","",""
"","305","Single User","chromium","Sat Mar 29 02:58:23 GMT 2025","passed","Sat Mar 29 02:58:24 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","303","Update an existing user","chromium","Sat Mar 29 02:58:24 GMT 2025","passed","Sat Mar 29 02:58:25 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","582","Login API","chromium","Sat Mar 29 02:58:25 GMT 2025","passed","Sat Mar 29 02:58:25 GMT 2025","[POST] User Login","post_login_user.spec.ts","",""
"","320","Create a new user","chromium","Sat Mar 29 02:58:24 GMT 2025","passed","Sat Mar 29 02:58:24 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","34","List users with page parameter","chromium","Sat Mar 29 02:58:23 GMT 2025","passed","Sat Mar 29 02:58:23 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","304","List users with page not data exist","chromium","Sat Mar 29 02:58:23 GMT 2025","passed","Sat Mar 29 02:58:23 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","290","List users with id not exist","chromium","Sat Mar 29 02:58:24 GMT 2025","passed","Sat Mar 29 02:58:24 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","285","Register unsuccessful - should return missing password error","chromium","Sat Mar 29 02:58:26 GMT 2025","passed","Sat Mar 29 02:58:26 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","336","List users with page and per_page parameters","chromium","Sat Mar 29 02:58:23 GMT 2025","passed","Sat Mar 29 02:58:23 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
