"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","246","Register unsuccessful - should return missing password error","chromium","Sun May 04 03:19:07 GMT 2025","failed","Sun May 04 03:19:07 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","245","Single User","chromium","Sun May 04 03:18:51 GMT 2025","failed","Sun May 04 03:18:51 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","255","Update an existing user","chromium","Sun May 04 03:18:59 GMT 2025","failed","Sun May 04 03:18:59 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","255","Create a new user","chromium","Sun May 04 03:18:56 GMT 2025","failed","Sun May 04 03:18:56 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","258","Register success - should return id and token","chromium","Sun May 04 03:19:04 GMT 2025","failed","Sun May 04 03:19:05 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","93","List users with page parameter","chromium","Sun May 04 03:18:44 GMT 2025","passed","Sun May 04 03:18:44 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","253","Login API","chromium","Sun May 04 03:19:01 GMT 2025","failed","Sun May 04 03:19:02 GMT 2025","[POST] User Login","post_login_user.spec.ts","",""
"","252","List users with id not exist","chromium","Sun May 04 03:18:53 GMT 2025","failed","Sun May 04 03:18:53 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","250","List users with page not data exist","chromium","Sun May 04 03:18:48 GMT 2025","failed","Sun May 04 03:18:49 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","250","Update an existing user","chromium","Sun May 04 03:19:10 GMT 2025","failed","Sun May 04 03:19:10 GMT 2025","User API Tests","put_update_user.spec.ts","",""
"","248","List User Without Parameter","chromium","Sun May 04 03:18:43 GMT 2025","failed","Sun May 04 03:18:44 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","246","List users with page and per_page parameters","chromium","Sun May 04 03:18:46 GMT 2025","failed","Sun May 04 03:18:46 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
