"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","183","Create a new user","chromium","Fri Dec 27 02:50:52 GMT 2024","passed","Fri Dec 27 02:50:53 GMT 2024","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","352","Login API","chromium","Fri Dec 27 02:50:53 GMT 2024","passed","Fri Dec 27 02:50:53 GMT 2024","[POST] User Login","post_login_user.spec.ts","",""
"","181","List users with page not data exist","chromium","Fri Dec 27 02:50:52 GMT 2024","passed","Fri Dec 27 02:50:52 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","31","List users with page parameter","chromium","Fri Dec 27 02:50:52 GMT 2024","passed","Fri Dec 27 02:50:52 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","190","List User Without Parameter","chromium","Fri Dec 27 02:50:51 GMT 2024","passed","Fri Dec 27 02:50:52 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","170","List users with id not exist","chromium","Fri Dec 27 02:50:52 GMT 2024","passed","Fri Dec 27 02:50:52 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","167","Update an existing user","chromium","Fri Dec 27 02:50:53 GMT 2024","passed","Fri Dec 27 02:50:54 GMT 2024","User API Tests","put_update_user.spec.ts","",""
"","34","Single User","chromium","Fri Dec 27 02:50:52 GMT 2024","passed","Fri Dec 27 02:50:52 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","179","Register success - should return id and token","chromium","Fri Dec 27 02:50:53 GMT 2024","passed","Fri Dec 27 02:50:53 GMT 2024","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","178","Update an existing user","chromium","Fri Dec 27 02:50:53 GMT 2024","passed","Fri Dec 27 02:50:53 GMT 2024","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","193","List users with page and per_page parameters","chromium","Fri Dec 27 02:50:52 GMT 2024","passed","Fri Dec 27 02:50:52 GMT 2024","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","170","Register unsuccessful - should return missing password error","chromium","Fri Dec 27 02:50:53 GMT 2024","passed","Fri Dec 27 02:50:53 GMT 2024","[POST] Register User API Tests","post_register_user.spec.ts","",""
