"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 26 02:48:17 GMT 2024","Sat Oct 26 02:48:18 GMT 2024","228","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with id not exist",""
"passed","Sat Oct 26 02:48:19 GMT 2024","Sat Oct 26 02:48:19 GMT 2024","228","chromium","post_register_user.spec.ts","[POST] Register User API Tests","","","Register success - should return id and token",""
"passed","Sat Oct 26 02:48:16 GMT 2024","Sat Oct 26 02:48:17 GMT 2024","179","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List User Without Parameter",""
"passed","Sat Oct 26 02:48:17 GMT 2024","Sat Oct 26 02:48:17 GMT 2024","27","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with page parameter",""
"passed","Sat Oct 26 02:48:19 GMT 2024","Sat Oct 26 02:48:19 GMT 2024","224","chromium","put_update_user.spec.ts","User API Tests","","","Update an existing user",""
"passed","Sat Oct 26 02:48:17 GMT 2024","Sat Oct 26 02:48:17 GMT 2024","255","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","Single User",""
"passed","Sat Oct 26 02:48:18 GMT 2024","Sat Oct 26 02:48:18 GMT 2024","234","chromium","post_create_user.spec.ts","[POST] Create Users API Tests","","","Update an existing user",""
"passed","Sat Oct 26 02:48:17 GMT 2024","Sat Oct 26 02:48:17 GMT 2024","258","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with page and per_page parameters",""
"passed","Sat Oct 26 02:48:18 GMT 2024","Sat Oct 26 02:48:19 GMT 2024","475","chromium","post_login_user.spec.ts","[POST] User Login","","","Login API",""
"passed","Sat Oct 26 02:48:18 GMT 2024","Sat Oct 26 02:48:18 GMT 2024","241","chromium","post_create_user.spec.ts","[POST] Create Users API Tests","","","Create a new user",""
"passed","Sat Oct 26 02:48:17 GMT 2024","Sat Oct 26 02:48:17 GMT 2024","256","chromium","get_list_user.spec.ts","[GET] List Users API Tests","","","List users with page not data exist",""
"passed","Sat Oct 26 02:48:19 GMT 2024","Sat Oct 26 02:48:19 GMT 2024","237","chromium","post_register_user.spec.ts","[POST] Register User API Tests","","","Register unsuccessful - should return missing password error",""
