"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","308","Single User","chromium","Mon May 05 03:15:01 GMT 2025","failed","Mon May 05 03:15:02 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","254","List users with page not data exist","chromium","Mon May 05 03:14:59 GMT 2025","failed","Mon May 05 03:14:59 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","253","Register success - should return id and token","chromium","Mon May 05 03:15:14 GMT 2025","failed","Mon May 05 03:15:15 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","246","Create a new user","chromium","Mon May 05 03:15:06 GMT 2025","failed","Mon May 05 03:15:07 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","246","List users with page and per_page parameters","chromium","Mon May 05 03:14:56 GMT 2025","failed","Mon May 05 03:14:57 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","247","Login API","chromium","Mon May 05 03:15:12 GMT 2025","failed","Mon May 05 03:15:12 GMT 2025","[POST] User Login","post_login_user.spec.ts","",""
"","247","List users with id not exist","chromium","Mon May 05 03:15:04 GMT 2025","failed","Mon May 05 03:15:04 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","238","List User Without Parameter","chromium","Mon May 05 03:14:54 GMT 2025","failed","Mon May 05 03:14:54 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","240","Update an existing user","chromium","Mon May 05 03:15:20 GMT 2025","failed","Mon May 05 03:15:20 GMT 2025","User API Tests","put_update_user.spec.ts","",""
"","236","Register unsuccessful - should return missing password error","chromium","Mon May 05 03:15:17 GMT 2025","failed","Mon May 05 03:15:17 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","239","Update an existing user","chromium","Mon May 05 03:15:09 GMT 2025","failed","Mon May 05 03:15:09 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","116","List users with page parameter","chromium","Mon May 05 03:14:55 GMT 2025","passed","Mon May 05 03:14:55 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
