"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","325","Update an existing user","chromium","Tue Feb 11 02:50:36 GMT 2025","passed","Tue Feb 11 02:50:37 GMT 2025","User API Tests","put_update_user.spec.ts","",""
"","346","List users with page not data exist","chromium","Tue Feb 11 02:50:33 GMT 2025","passed","Tue Feb 11 02:50:33 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","204","List User Without Parameter","chromium","Tue Feb 11 02:50:33 GMT 2025","passed","Tue Feb 11 02:50:33 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","336","Single User","chromium","Tue Feb 11 02:50:33 GMT 2025","passed","Tue Feb 11 02:50:34 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","310","Register success - should return id and token","chromium","Tue Feb 11 02:50:36 GMT 2025","passed","Tue Feb 11 02:50:36 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","46","List users with page parameter","chromium","Tue Feb 11 02:50:33 GMT 2025","passed","Tue Feb 11 02:50:33 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","338","List users with page and per_page parameters","chromium","Tue Feb 11 02:50:33 GMT 2025","passed","Tue Feb 11 02:50:33 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","324","Update an existing user","chromium","Tue Feb 11 02:50:35 GMT 2025","passed","Tue Feb 11 02:50:35 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
"","334","List users with id not exist","chromium","Tue Feb 11 02:50:34 GMT 2025","passed","Tue Feb 11 02:50:34 GMT 2025","[GET] List Users API Tests","get_list_user.spec.ts","",""
"","624","Login API","chromium","Tue Feb 11 02:50:35 GMT 2025","passed","Tue Feb 11 02:50:36 GMT 2025","[POST] User Login","post_login_user.spec.ts","",""
"","312","Register unsuccessful - should return missing password error","chromium","Tue Feb 11 02:50:36 GMT 2025","passed","Tue Feb 11 02:50:36 GMT 2025","[POST] Register User API Tests","post_register_user.spec.ts","",""
"","319","Create a new user","chromium","Tue Feb 11 02:50:34 GMT 2025","passed","Tue Feb 11 02:50:35 GMT 2025","[POST] Create Users API Tests","post_create_user.spec.ts","",""
